From Timestamp,Total heat generated [MWh],Total electricity generated [MWh],Total input fuel [Sm3]
01/02/2023 00:00:00,1.2000000000000000,0.53,221
01/02/2023 00:30:00,1.201,0.53,219
01/02/2023 01:00:00,1.299,0.53,220
01/02/2023 01:30:00,1.2000000000000000,0.51,218
01/02/2023 02:00:00,1.3,0.52,221
01/02/2023 02:30:00,1.101,0.51,221
01/02/2023 03:00:00,1.299,0.51,225
01/02/2023 03:30:00,1.3,0.52,223
01/02/2023 04:00:00,1.3,0.51,222
01/02/2023 04:30:00,1.3,0.52,225
01/02/2023 05:00:00,1.2,0.52,224
01/02/2023 05:30:00,1.2000000000000000,0.53,227
01/02/2023 06:00:00,1.4,0.55,231
01/02/2023 06:30:00,1.3,0.56,238
01/02/2023 07:00:00,1.3,0.59,234
01/02/2023 07:30:00,1.3,0.58,237
01/02/2023 08:00:00,1.3,0.59,236
01/02/2023 08:30:00,1.4,0.58,243
01/02/2023 09:00:00,1.3010000000000000,0.58,243
01/02/2023 09:30:00,1.4,0.59,243
01/02/2023 10:00:00,1.4,0.58,238
01/02/2023 10:30:00,1.199,0.59,235
01/02/2023 11:00:00,1.3,0.58,232
01/02/2023 11:30:00,1.3,0.59,235
01/02/2023 12:00:00,1.2000000000000000,0.58,233
01/02/2023 12:30:00,1.3,0.59,235
01/02/2023 13:00:00,0.7,0.58,170
01/02/2023 13:30:00,1.4,0.58,247
01/02/2023 14:00:00,1.4,0.59,234
01/02/2023 14:30:00,1.201,0.58,233
01/02/2023 15:00:00,1.3,0.59,231
01/02/2023 15:30:00,1.199,0.58,228
01/02/2023 16:00:00,1.3,0.59,232
01/02/2023 16:30:00,1.2000000000000000,0.58,233
01/02/2023 17:00:00,1.3,0.59,233
01/02/2023 17:30:00,1.3,0.58,233
01/02/2023 18:00:00,1.2000000000000000,0.58,233
01/02/2023 18:30:00,1.0,0.59,194
01/02/2023 19:00:00,1.001,0.58,210
01/02/2023 19:30:00,1.3,0.59,236
01/02/2023 20:00:00,1.199,0.58,233
01/02/2023 20:30:00,0.6000000000000000,0.59,160
01/02/2023 21:00:00,1.4,0.57,237
01/02/2023 21:30:00,1.2000000000000000,0.55,229
01/02/2023 22:00:00,1.3,0.55,226
01/02/2023 22:30:00,0.801,0.54,178
01/02/2023 23:00:00,0.999,0.54,205
01/02/2023 23:30:00,1.3,0.54,227
02/02/2023 00:00:00,1.2000000000000000,0.54,221
02/02/2023 00:30:00,1.3,0.53,221
02/02/2023 01:00:00,1.1,0.53,220
02/02/2023 01:30:00,0.7,0.52,159
02/02/2023 02:00:00,1.1,0.51,215
02/02/2023 02:30:00,1.3010000000000000,0.52,222
02/02/2023 03:00:00,1.199,0.52,216
02/02/2023 03:30:00,1.1,0.51,215
02/02/2023 04:00:00,1.2000000000000000,0.51,215
02/02/2023 04:30:00,1.2,0.51,214
02/02/2023 05:00:00,1.2000000000000000,0.51,214
02/02/2023 05:30:00,0.5,0.52,156
02/02/2023 06:00:00,1.3010000000000000,0.55,234
02/02/2023 06:30:00,1.299,0.55,227
02/02/2023 07:00:00,1.3,0.59,232
02/02/2023 07:30:00,1.2000000000000000,0.58,232
02/02/2023 08:00:00,1.2,0.58,217
02/02/2023 08:30:00,0.8,0.59,190
02/02/2023 09:00:00,1.4,0.59,240
02/02/2023 09:30:00,1.3,0.58,235
02/02/2023 10:00:00,1.2000000000000000,0.58,235
02/02/2023 10:30:00,0.601,0.59,164
02/02/2023 11:00:00,1.4,0.58,237
02/02/2023 11:30:00,0.999,0.59,208
02/02/2023 12:00:00,0.8,0.58,185
02/02/2023 12:30:00,1.3,0.59,236
02/02/2023 13:00:00,0.9,0.58,183
02/02/2023 13:30:00,1.0,0.58,208
02/02/2023 14:00:00,1.2,0.59,230
02/02/2023 14:30:00,0.7,0.58,173
02/02/2023 15:00:00,1.2,0.59,214
02/02/2023 15:30:00,1.201,0.58,231
02/02/2023 16:00:00,1.099,0.59,229
02/02/2023 16:30:00,0.7,0.58,154
02/02/2023 17:00:00,1.2000000000000000,0.58,229
02/02/2023 17:30:00,1.2,0.59,230
02/02/2023 18:00:00,0.8,0.59,179
02/02/2023 18:30:00,1.1,0.58,216
02/02/2023 19:00:00,1.2000000000000000,0.58,229
02/02/2023 19:30:00,1.3,0.59,230
02/02/2023 20:00:00,0.501,0.58,148
02/02/2023 20:30:00,1.3,0.59,230
02/02/2023 21:00:00,1.099,0.56,209
02/02/2023 21:30:00,0.5,0.56,157
02/02/2023 22:00:00,1.2000000000000000,0.55,221
02/02/2023 22:30:00,1.1,0.55,206
02/02/2023 23:00:00,0.601,0.54,156
02/02/2023 23:30:00,1.199,0.54,218
03/02/2023 00:00:00,1.2000000000000000,0.53,218
03/02/2023 00:30:00,0.5,0.53,140
03/02/2023 01:00:00,1.201,0.53,216
03/02/2023 01:30:00,1.099,0.51,214
03/02/2023 02:00:00,0.7,0.52,158
03/02/2023 02:30:00,1.0,0.52,195
03/02/2023 03:00:00,1.201,0.52,214
03/02/2023 03:30:00,1.099,0.51,213
03/02/2023 04:00:00,0.7,0.52,149
03/02/2023 04:30:00,0.901,0.51,200
03/02/2023 05:00:00,1.199,0.52,215
03/02/2023 05:30:00,1.2000000000000000,0.53,213
03/02/2023 06:00:00,0.5,0.54,151
03/02/2023 06:30:00,1.3,0.55,223
03/02/2023 07:00:00,1.201,0.59,231
03/02/2023 07:30:00,0.899,0.58,194
03/02/2023 08:00:00,1.0,0.59,203
03/02/2023 08:30:00,1.3,0.58,230
03/02/2023 09:00:00,1.2000000000000000,0.58,232
03/02/2023 09:30:00,1.3,0.59,231
03/02/2023 10:00:00,0.5,0.58,153
03/02/2023 10:30:00,1.3,0.59,232
03/02/2023 11:00:00,1.2000000000000000,0.58,231
03/02/2023 11:30:00,0.501,0.59,154
03/02/2023 12:00:00,1.3,0.58,230
03/02/2023 12:30:00,0.899,0.59,191
03/02/2023 13:00:00,0.8,0.58,185
03/02/2023 13:30:00,1.3,0.58,230
03/02/2023 14:00:00,0.7,0.59,174
03/02/2023 14:30:00,1.0,0.58,210
03/02/2023 15:00:00,1.0,0.59,199
03/02/2023 15:30:00,0.7,0.58,179
03/02/2023 16:00:00,1.3,0.59,229
03/02/2023 16:30:00,0.601,0.58,158
03/02/2023 17:00:00,1.3,0.59,230
03/02/2023 17:30:00,1.099,0.58,231
03/02/2023 18:00:00,0.6,0.58,151
03/02/2023 18:30:00,1.2000000000000000,0.59,230
03/02/2023 19:00:00,1.3,0.58,231
03/02/2023 19:30:00,1.2000000000000000,0.59,220
03/02/2023 20:00:00,0.6,0.58,160
03/02/2023 20:30:00,1.2000000000000000,0.58,228
03/02/2023 21:00:00,1.001,0.56,202
03/02/2023 21:30:00,0.6990000000000000,0.55,163
03/02/2023 22:00:00,1.1,0.54,221
03/02/2023 22:30:00,1.1,0.54,200
03/02/2023 23:00:00,0.6000000000000000,0.54,153
03/02/2023 23:30:00,1.1,0.53,217
04/02/2023 00:00:00,0.9,0.52,174
04/02/2023 00:30:00,0.9,0.53,183
04/02/2023 01:00:00,1.101,0.51,215
04/02/2023 01:30:00,0.899,0.52,182
04/02/2023 02:00:00,0.7,0.5,168
04/02/2023 02:30:00,1.2000000000000000,0.5,212
04/02/2023 03:00:00,1.1,0.5,213
04/02/2023 03:30:00,0.5,0.5,131
04/02/2023 04:00:00,1.1,0.5,211
04/02/2023 04:30:00,1.201,0.51,215
04/02/2023 05:00:00,0.899,0.5,189
04/02/2023 05:30:00,0.7,0.49,162
04/02/2023 06:00:00,1.201,0.52,215
04/02/2023 06:30:00,1.099,0.51,215
04/02/2023 07:00:00,0.6,0.55,153
04/02/2023 07:30:00,1.2,0.56,223
04/02/2023 08:00:00,1.2000000000000000,0.58,231
04/02/2023 08:30:00,1.3,0.59,230
04/02/2023 09:00:00,0.501,0.58,158
04/02/2023 09:30:00,1.3,0.59,231
04/02/2023 10:00:00,1.199,0.58,232
04/02/2023 10:30:00,1.2000000000000000,0.58,227
04/02/2023 11:00:00,0.6,0.59,155
04/02/2023 11:30:00,1.2000000000000000,0.58,231
04/02/2023 12:00:00,1.3,0.59,231
04/02/2023 12:30:00,0.5,0.58,156
04/02/2023 13:00:00,1.2,0.59,226
04/02/2023 13:30:00,1.201,0.58,232
04/02/2023 14:00:00,0.799,0.59,183
04/02/2023 14:30:00,1.0,0.58,202
04/02/2023 15:00:00,1.2000000000000000,0.59,231
04/02/2023 15:30:00,0.8,0.58,166
04/02/2023 16:00:00,1.1,0.59,223
04/02/2023 16:30:00,1.3,0.58,232
04/02/2023 17:00:00,0.8,0.58,188
04/02/2023 17:30:00,1.0,0.59,203
04/02/2023 18:00:00,1.201,0.58,231
04/02/2023 18:30:00,0.999,0.59,203
04/02/2023 19:00:00,0.9,0.57,192
04/02/2023 19:30:00,1.2000000000000000,0.56,225
04/02/2023 20:00:00,0.9,0.55,181
04/02/2023 20:30:00,0.9,0.55,193
04/02/2023 21:00:00,1.101,0.56,224
04/02/2023 21:30:00,0.6990000000000000,0.53,150
04/02/2023 22:00:00,1.1,0.54,219
04/02/2023 22:30:00,1.2000000000000000,0.53,218
04/02/2023 23:00:00,1.101,0.53,220
04/02/2023 23:30:00,1.199,0.52,217
05/02/2023 00:00:00,1.2000000000000000,0.52,215
05/02/2023 00:30:00,1.2000000000000000,0.53,217
05/02/2023 01:00:00,1.101,0.51,215
05/02/2023 01:30:00,1.199,0.51,215
05/02/2023 02:00:00,1.3,0.51,212
05/02/2023 02:30:00,1.2000000000000000,0.52,214
05/02/2023 03:00:00,1.2000000000000000,0.5,213
05/02/2023 03:30:00,1.1,0.51,212
05/02/2023 04:00:00,1.2000000000000000,0.51,215
05/02/2023 04:30:00,1.2000000000000000,0.51,213
05/02/2023 05:00:00,1.2000000000000000,0.51,215
05/02/2023 05:30:00,1.3,0.52,220
05/02/2023 06:00:00,1.3010000000000000,0.53,228
05/02/2023 06:30:00,1.299,0.53,231
05/02/2023 07:00:00,1.4,0.56,235
05/02/2023 07:30:00,1.3,0.58,240
05/02/2023 08:00:00,1.4,0.58,241
05/02/2023 08:30:00,1.4,0.58,244
05/02/2023 09:00:00,1.4,0.59,242
05/02/2023 09:30:00,1.4,0.58,243
05/02/2023 10:00:00,1.3,0.59,243
05/02/2023 10:30:00,1.4,0.58,241
05/02/2023 11:00:00,1.4,0.58,236
05/02/2023 11:30:00,1.3,0.59,234
05/02/2023 12:00:00,1.3,0.58,233
05/02/2023 12:30:00,1.2000000000000000,0.59,235
05/02/2023 13:00:00,1.3,0.58,235
05/02/2023 13:30:00,1.3,0.59,235
05/02/2023 14:00:00,1.3,0.58,234
05/02/2023 14:30:00,1.101,0.59,219
05/02/2023 15:00:00,0.8,0.58,180
05/02/2023 15:30:00,1.199,0.58,233
05/02/2023 16:00:00,1.3,0.59,234
05/02/2023 16:30:00,1.2000000000000000,0.58,232
05/02/2023 17:00:00,1.2000000000000000,0.59,232
05/02/2023 17:30:00,1.4,0.58,232
05/02/2023 18:00:00,1.2000000000000000,0.58,234
05/02/2023 18:30:00,1.3,0.59,233
05/02/2023 19:00:00,1.201,0.58,235
05/02/2023 19:30:00,1.3,0.58,231
05/02/2023 20:00:00,1.199,0.56,227
05/02/2023 20:30:00,1.2000000000000000,0.55,224
05/02/2023 21:00:00,1.2000000000000000,0.56,228
05/02/2023 21:30:00,1.3,0.55,223
05/02/2023 22:00:00,1.3,0.54,223
05/02/2023 22:30:00,1.201,0.55,223
05/02/2023 23:00:00,1.199,0.54,222
05/02/2023 23:30:00,1.3,0.53,220
06/02/2023 00:00:00,1.7,0.55,238
06/02/2023 00:30:00,1.7000000000000000,0.53,223
06/02/2023 01:00:00,1.2000000000000000,0.53,219
06/02/2023 01:30:00,1.3,0.53,222
06/02/2023 02:00:00,1.9010000000000000,0.53,225
06/02/2023 02:30:00,1.199,0.52,217
06/02/2023 03:00:00,1.2000000000000000,0.53,220
06/02/2023 03:30:00,1.4000000000000000,0.52,227
06/02/2023 04:00:00,1.8,0.52,223
06/02/2023 04:30:00,1.201,0.52,215
06/02/2023 05:00:00,1.199,0.51,216
06/02/2023 05:30:00,1.4,0.54,229
06/02/2023 06:00:00,1.3,0.54,239
06/02/2023 06:30:00,1.5,0.56,240
06/02/2023 07:00:00,2.1000000000000000,0.58,240
06/02/2023 07:30:00,1.3,0.59,235
06/02/2023 08:00:00,1.4000000000000000,0.58,237
